아이디,댓글 내용
  치킨조아,전 예전에는 술이 달다고 생각했었는데 지금은 쓰거든요. 이건 무슨 이유에서일까요??
  팡니,오 그래서 내가 달았구나 저는 술찐인데 술이 달아서 맨날 술 허세 부린다는 얘기들었는데....아니 술이 달다고 말한다고 다 술이 쎈거 아니라고 ㅂㄷㅂㄷㅂㄷ
  sytuu,쓴맛을 못느끼는구낭 아항 졸라 쓰고 감미료땜에 느글거리는 맛 나는데 개맛없음 소쥬ㅠㅠㅠ차라시 막걸리나 맥주먹지
  ㅇㅇ,?.... 이상하게 저는 아아는 써서 못 마시는데 소주는 달게 느껴져요 전 왜이럴까요... 평소에도 쓴 거는 엄청 싫어해요
  해피쿼카,냄새가 너무 역해요 ㅋㅋ 맡기만 해도 머리가 빙글~~
  ᄀᄆᄀ,되게 어릴때 딸기약 마시는 느낌이라 역합니다... ㄹㅇ. 그런류의 인공단맛? 약품맛이랑 섞여서 너무 못먹겠음ㅜㅜ 쓴 건 모르겠고 달아...역겹게...
  아무기,소주는 감미료맛이 너무나서 못먹겠던데
  추즈니,초딩 입맛이 유전이였구나.
  개굴개굴,음… 전 이게 궁금했는데 소주가 계속 달고 계속 쓴게 아니라 어떤 날은 유독 달고 어떤 날은 유독 쓰던데 그건 왜일까요…?
  MO MO,아니 왜 난 풀때기가 쓴게 많고 친구들은 알콜램프를 좋다고 들이키나.. 했는데  세상에..
  Yeonjong Ryu,소주는 소주잔 꽉채우면 6잔 아닌가요?ㅋ
  기다렸어,그래!! 내가 소주는 싫어하는데 후레쉬 먹을거면 차라리 오리지널을 먹자고 하는데 그게 여기서 드러나는구만!!
  Idon'tcare,왕년에 직장에서 3대 주당으로 불릴만큼 잘 마셨는데 어느날 갑자기 술맛이 쓰더라.그 후로 단주한지 30년 넘어간다.유전자가 갑자기 변하기도 하냐?
  황석현,항상 너무 달아서 쓰다고 생각했는데..달기도 엄청단데 쓰기도 엄청 씀
  에이든,인생 고단해서 그런다는허세를 원천 차단 할 수 있겠구만ㅋㅋ
  ㅇ,소주는 쓴것도 있지만 맛 자체가 역해요 ㅠ
  카네아,이제 인생 쓴맛 때문에 술이 단 건데 니가 쓰다고 느끼는 건 인생 쓴맛을 못 봐서 그런 거라고 구박하던 놈한테 개소리라고 항의할 수 있겠네요^^
  Awesome,소주 넘기면 과학시간에 알콜램프 냄새같은 것만 올라오던데 으.  맛도 없어 몸에도 안좋아 취해서 헤롱헤롱거리는 사람들도 한심해 난 그렇게 되기 싫어서 안먹음
  Love Miki,난 맛차이 모르겠음.....진한거 연한거 차이는 느끼는데 이슬이나 처음처럼이나...
  Saeon The Fox,소주가 너무 달아서 못마시고 대신 위스키나 보드카를 마십니다.
  우리,마실 때마다 달고 쓰고...그래서 소맥합니다(?)
  고영희,소주가 살찌는 이유가 당이 많이 들어가서구나
  아유아휴,쓴날도 있고 단날도 있고 아무맛도 안나는 날도 있는데  술은 늘 진로임 왜 그런거죠?
  Pumpkin King,근디 진짜 빡세게 몸을 혹사하고 난 뒤면 소주가 달다. 단 평소에 소주를 즐겨하는 사람인경우에 한함이 분들 의견은 분명 과학적이나 결론적으로 맛은 주관적이라는건데 즉 개개인마다 다른걸 굳이 ㄱ ㅐ 소ㄹ ㅣ 라고 할 소리인지 모르겠음
  마담정,술은 분위기제~
  이윤지,소주는 달지 않다 ㅡ미자ㅡ오 쓴맛도 오이에 민감한 사람이 있는 것처럼 있군요?ㅋㅎㅋ전 쓴맛 진짜 싫어요ㅠㅠ
  이리,사람에 따른 차이가 아니라 어느날은 왜 더 달고 어느날은 왜 유독 더 쓴지가 궁금하네요
  실장권법,쓴거 잘 먹는데 소주는 냄새만 맡아도 구역질 올라옴 ㅜㅜ
  dolx20,가아끔 100 일 먹으면  하루쯤 달게 느낌
  뀨뀨꺄꺄,무첨가인 보드카 위스키 럼같은거 단맛은 뭐지구강이 ㅈ창나서 그런건가....
  강대국,소주보다 더 쓴 건 아메리카노혀가 마비될 뻔했다.
  윤희,젊을때는 반주하면서 2병까지 마셨는데이제는 ㅜ.ㅡ 너무써서 못먹게써요
  진수혁,소주가 단 것은 실제로 달기 때문입니다 (끄덕)
  SUJIN YANG,와 나 여태 소주가 달다는 말은 허세인줄 알았어요
  기다렸어,그래!! 내가 소주는 싫어하는데 후레쉬 먹을거면 차라리 오리지널을 먹자고 하는데 그게 여기서 드러나는구만!!후레쉬의 알콜향이 더 역겹고 씁쓸하더라니!!
  입다물면 여신,이제야 내말을믿어주겠네요전 소주가 달게느껴지는데 허세라며..ㅠㅠ
  ninwitdo,이래서 이과는...
  Yongwan Jeon,물 탄 알콜에 인공감미료 때려넣은 것에서 낭만을 찾기엔 좀.....
  쿠뭉타,난 그날에 컨디션에 따라 다르던데
  소리모녀,소주는 뒷맛도 겁나쓰던데!!!!  으악!!!!
  mang,회색옷 입으신분 주우재 닮으셨네..
  syn101jp,그럼 쏘맥 맛은 ….??
  geon P,삼겹살엔 콜라이지요~!
  멍뭉이 02,그러니까 술 어거지로 먹이지 맙시다! 뒷통수 후려갈기고 싶으니까 쳐마시려면 지나 마시던가
  정 J G,쏘주가 단건혀에 문제가 있는거임
  심민경 ミンギョン,맛탱이 갔대 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ쿠ㅜㅜㅜ
  개고기_드라이에이징_존맛,글쎄.. 술이쓰다 생각되고 1년 지났을때 달다고 느낌 유전적인 문제뿐만은 아님
  서리,소주 너무 인공적이라 마시기 싫음..청주가 좋아!
  모락모락,해산물의 비린맛은요???
  버미,사람마다 다른게 아니라 같은 사람이 다른날 달고 쓰고 그런게 궁금한건데
  브레이커요마 핫,33살 넘어가니 소주가 달아짐.. 그전에는 너무 썼는데
  김하,난 소주안에 설탕 오질라게 들어가있어서그런줄
  기린이키린.,저희형은 딸기맛이 느껴졌었다던데 이게 사람맞나요?
  청장미,근데 어떤 날은 첫잔부터 달고 어떤 날은 엄청 쓴데 이건 왜 그런건가요??
  정성목,어? 그래서 쓴맛이강하거나 향이강한 나물을먹으면 오심에 구토하고 날리치는데 술도 마시면 죽을거 같은 기분...... 내유전자가 쓰래기였던거야
  9 cw,참이슬 처음처럼 청하 순으로 쓴듯
  zu4961_ Krande,속된말로 꽐라되고 다음날 술똥싸ㄴ..
  김첨지의럭키데이,"일단 그건 알겠는데,,,,,,같은 종류의 술이라도 단 날이 있고 쓴날이 있는 건 왜 일까,,,,,,,, 진짜 막 누구 말처럼 같은 술이라도 만들어진 날에 따라서 조미료 함량이 불규칙하게 섞여서 그런걸까? 아님 기분탓인걸까,,,,,같은 술도 사수가 지랄한 날은 쓰던데..."
  인생패자 부활자의 패기(사료 좋아함),아니.. 유전자 때문이기보담.. 그날 그날 맛이 진찌 다른데? 어떤 때는 쓰고 어떤 때는 달고.
  뮤탈머스크,진짜 달아서 달다고 말하는거였구나?
  강동협,맛탱이가 가서 그래 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  hilinful,메탄올 실험하고나면 그날은 쏘주진짜 시러요ㅜㅡㅜ
  니고강,내가 소주를 못 먹는 이유ㅠㅠㅠㅠ
  ZEUS,합성 감미료 덩어린데 ㅋㅋㅋ달지
  유아네루아,아니야 지금 맛탱이가 가서 그랰ㅋㅋㅋㅋㅋㅋ 미치겠네
  밀크마루,근데 같은 사람이라도 어떤 날은 쓰게 느끼고 어떤 날은 달게 느끼는데... 유전자도 오락가락 하는건가?
  Sangmin Lee,저런 쓰레기 술 그만 만들고 청주랑 막걸리에 더 투자했으면..
  kamn,놀러가면 첫날엔 달고다음날엔 쓰던데
  W K,쓴맛 조아
  눅벽솔,애초에 논점이 다른 것 같은데말씀하시는 소주가 달다라고 하는 건평소에는 진짜 역할 정도로 쓴데진짜 힘든 하루를 보내고 소주를 마실 때는 이상하게 매번 달달하고 아무렇지도 않게 마실 수 있어서 그런 말이 나온 거 아닌가요?저의 경우에는 그렇네요
  KIMES,"아, 안마시면 되지 ㅋㅋㅋ"
  GeekP 긱피,재밌어요
  星霊禰宜 ᴍᴀʀʟᴇɴᴇ ᴊᴀɴ-ᴘᴀʀʀ,소주 강요하면 뚝스딱스하고 싶어짐
  누렁이,으 소주 알콜특유냄새 너무 심해서 절대안마셔요.차라리 배빨리불러오는 맥주가 나아요
  오현승,술이들어간다 간이 기절한다 계속먹는다고래가된다.소주가 달면 간에 문제 있는거 아닌가?
  반박시 니말이 다틀림,난 야채도 못먹고 술도 못먹고 커피도 못먹는데 빼박이네
  GongDoRi _B,단거 쓴거를 떠나서 초록병 소주는 쓰레기 술입니다
  대충사는사람,소주 깻잎 오이 올리브 그 뚱뚱한 할라피뇨? 못먹는사람..
  blin Go,소주 쓴 건 모르겠는데... 역해서 싫더라고요화학실 폐시약통 같은 냄새라...
  필바,귤하고 마시면 달죠
  양파볶음,암튼 녹색병 저가 소주 노맛이라서 마시기 싫음
  silver mi,진로는 디게 달아서 진로만 마셔요저만 단 가?
  아미데,내 유전자는 특이한가보네여 어느날은 너무 달달했고  어느날은 씁쓸한맛이 너무달라
  쌤최고,안녕하세요 닥터프렌즈 쌤들 헬프님들 저 왔어요 
  냥캣,오이랑 커피는 잘묵는데 술만 드럽게 씀...
  너구리다람쥐,저는 소주가 쓰지는 않은데 억지로 달게하려는 그 인공감미료맛이 너무 역해요
  바밤바,참이슬 후레쉬가 제일 맛이 없네
  Sunny An,어떤때는 달다가 어떤때는 쓰다가 그래서 아리송하네요
  송은숙,현재의 소주가 일제 싸구려 개노맛 소주 인게 팩트인데다 취객들 소주 먹고 객기 부리는 거 보면 소주를 좋아할 수 없음…
  K,입에 단백질이 머 분해대러 단다드마 고생한날엔
  ᄋᄋᄋ,내가 아아랑 소주 싫어하는게 이유가있구나 다른사람들이랑 다른맛을먹는거엿어
  반지노,저는 커피가 너무 쓰더라고요 카라멜마끼아또 도 써서 못먹습니다
  에스뚜디오차,근데 왜 어떤날은 너무 달고 어떤날은 역해서 못 먹을까요
  가라나도,이게 많이 퍼져서 권하는 ㅅㄲ들 많이 없어지길
  hj,헐 대박
  I ONIQ5,난 쓴맛을 잘 못느끼구나
  선채로 죽은 리재영,소주가 쓴 이유는 정신이 나약해서다.
  Joie,근데 어떤 날은 쓰고 어떤 날은 단 날이 있는데 그건 왜 그런걸까요???
  박하사탕,아 맞어 술 마시다보니 달던데
  šo세지,감기걸리면 달던데 ㅇㅅㅇ
  막사리,진로는 진짜 달던데
  YG K,취하면 달긴하던데
  iron Moon,애초에 소주 좋아하는 사람은 입이 걍 싼마이임ㅋㅋㅋ 위스키 중국술 사케같은거 마셔봐라 향긋한지 쓴지
  켕이,냄새부터 쓰다못해 독하던데..ㅋ
  김하루,아 그렇다면 조정뱅이이신 그분은!!
  하율,아 어쩐지 참이슬이 달더라...
  박시형,술은 사람을 죽여
  나천재야알아,소주는 쓴 독약맛. 단맛이 강하게 느껴진다면? 대장의 유익한 균이 모조리 죽었다!!!? 역시 알콜은 개쓰레기. 몸에 인류에 좋은것 하나없다고 장담한다. 이미 낭만따위 없었어요..
  chafle,"어라 근데 일관되게 달고, 쓰고 한 게 아니고 어쩔 때는 엄청 달고 어쩔 때는 역하고 쓰고 그러던데....... 기분탓이였나........"
  사람,근데 유전자땨문이라면 어느날은 쓰고 어느날은 달고 그러면 안되는거아님? 인상적이라는 말이 있는건 항상 쓰게 느껴지던 술이 달게 느껴졌을때가 잇기때문에 그런거아님? 어렸을때 맛본 술은 독하고 역하게 느껴졌는데 나이를 먹다보니 술이 달아졌는데 이건 뭐임..?
  나뚜믄마른다,소주는 쓴데 오이는 잘먹어요
  Seo Henry,숑아: 인쓰술달
  캐슬네임,0:54 본인 기준으로 밖에 생각 못하시나..
  ha Ja,전 왜 어쩔땐 달고 어쩔땐 쓸까요..? 아아는 쓰지만 잘 먹고 오이참외 잘 먹고 하는데 똑같은 삼겹살에 소주도 어쩔땐 달고 잘 들어가고 어쩔땐 맛대가리없어서.. 제 유전자는 실시간으로 변하는건가요..?
  sole,오이는 그냥 싫은데...커피는 너무써서 아메를 못먹어요
  지구 최고 미남 Aty ♡,술이 안 쓰면 그게 혀 비정상 아닌가?
  이정인,술 안마시면 참 그지같죠 못마시는 본인이
  맛탐정,달때도 있고 유독 쓸때도 있으면 뭐에요?
  자세히 보기 빌런,쓰지는 않는데 걍 역해요 ㅠㅠ
  YouText,유텍스트에서 방금 감상하신 영상을 글로도 읽어 보세요!  https://youtext.ai/rc0g8ninzqg *닥터프렌즈의 이용허락을 받아 콘텐츠를 만듭니다.
  위국헌신국민본분,저는 소주 마시기도 전에 냄새만 맡아도 토할거 같아서.못 마시네요
  No.95폭풍갈선생,좋은데이가 제일 맛남
  선디웨이브,나는 어쩔땐 달고 어쩔땐 쓴데  그럼 유전자가 시시각각 변하는거에요???
  Decrease28,어제 과음하고 시청하는데 맛 설명 하시는 거 듣는 것 만으로도 토할 것 같네요...
  필주,??:소주가 답니다???:너가 AVI형이라 그런거야
  K G,이런거는 대기업 들어가면 특히 대가리들 위주로 교육을 해야한다. 그놈에 회식 못먹으면 진짜 못먹는거니 강요하지말라고 틀딱들 미각세포가 날라가서 술이 덜쓴걸 정신력인것 마냥 강요하고 있어
  남지남지,바로 나커피도 넘 쓴 사람
  A10,유전자를 논할거면 위스키나 안동소주 같은 좀 제대로 된 증류식 술을 들고와야지 싸구려 희석식에 감미료만 때려박은 저질 소주를 들고 와서 단맛 쓴맛을 논하고 있네 ㅋㅋ... 애초에 초록병의 불쾌한 알코올부즈는 정상인이면 다 느끼는건데
  Jin,정답 다씀
  우주햄스터,으아아아.. 네잔이나 먹었어
  상상,와 나는 낙준선생님보다 천 배 달다~~~~
  어҉쩔҉수҉없҉는҉파҉트҉라҉슈҉,1:30 avi 타입 ㅗㅜㅑ~~~~
  OYO,맛없어서 잘 안먹음..
  이준호,참이슬이 난 제일 달던대...
  뚜라고해,어떤 날은 쓰고 어떤 날은 달던데 혹시 이건 왜 그런걸까요???
  이창화,어우 보기만해도 속이 안좋다
  나를찾는시간,내하루가 더 쓰다 - 문과 -
  김김김,재수 망한날 그렇게 소주가 달더라
  KOREAN WAYNE,이과가 또.....
  시청자,소주 불쾌한 단맛 나는 알콜램프 ㅋㅋㅋ그걸 맛있다고 쳐마시는건 스스로 세뇌하면서 가오잡는거임 ㅂㅅ들이 위스키처럼 향이라도 즐길 수 이씅면 몰라 ㅋㅋ난 에스프레소 되게 좋아하고 맛 향 제대로 즐기고 멋으로 먹는 사람 아닌데 소주나 보드카는 ㅅㅂ 알콜램프 절대 돈 주고 사먹을 가치가 없음
  가야금,어쩔때는 달고 어쩔때는 쓰던데...
  킹두두,원래 알코올 자체가 단맛을 가지고 있지 않나요와인도 알코올 도수 높을수록 단맛이 올라가는데근데 한국 소주가 워낙 쓰레기라 그렇긴 한데
  qidhdd dwd,결론은 인생이 쓴게 아니라 유전자가 타고난거네 가오충들ㅋㅋ
  인절미,전 AVI타입이었군요 
  김지환,이과가 또...;;;;;;
  송미노,이건 보지말아야겟다 ㅋㅋㅋㅋㅋ
  MR. KARATE,소주는쓰고 아아도개써서 안먹어 달긴뭐가달어 어후 ㅋㅋ
  Cw M,기분이나 상황이 랑 무관하다 는 내용은 아닌거 같 네요
  never ever,감미료 때문임
  sssr,어떨 때는 달고 어떨 때는 쓴데 그게 왜 그런지 궁금해서 들어왔는데... 그런 내용은 없고 그냥 사람마다 입맛이 다르다는 당연한 말만 하시네....;;
